Client;Projet;Récurrence;Nombre jours;Prix journalier HT;Montant HT
Aurouze;TMA;Annuel;30;550;16500
BIVC;TMA;Annuel;15;650;9750
BIVC;Hébérgement;Annuel;;;5400
CIVA;Hébérgement;Annuel;;;5400
AVA;Hébérgement;Annuel;;;5400
IVBD;TMA;Annuel;30;500;15000
Declarvins;TMA;Annuel;50;650;32500
Declarvins;Hébérgement;Annuel;;;5400
CNIV;TMA;Annuel;24;650;15600
CNIV;Hébergement;Annuel;;;600
AHJUCAF;TMA;Annuel;12;710;8520
NathanMode;Hébergement;Annuel;;;900
VinsIGP;TMA;Annuel;28;650;18200
VinsIGP;Hébergement;Annuel;;;6075
ODGProvence;Controle;Ponctuel;31.5;650;20475
ODGProvence;Hébergement;Annuel;;;5400
ODGRhone;Hébergement;Annuel;;;5400
ODGNantes;Hébergement;Annuel;;;1200
AMVM;TMA;Annuel;4;650;2600
AMVM;Hébérgement;Annuel;;;1200
ADM;TMA;Annuel;17;650;11050
ADM;Hébérgement;Annuel;;;600
ASSVAS;Hébergement;Annuel;;;675
CentreLoire;TMA;Annuel;16;650;10400
CentreLoire;Hébergement;Annuel;;;5400
Ventoux;TMA;Annuel;4;650;2600
Ventoux;Hébergement;Annuel;;;675
IGPSudOuest;TMA;Annuel;3;650;1950
IGPSudOuest;Hébergement;Annuel;;;675
Gaillac;TMA;Annuel;6;650;3900
NLNet;SignaturePDF;Ponctuel;49.5;520;25740
