"Date";"Projet";"Description";"Temps (en heure)";"Tache (pas obligatoire)"
"2023-09-30";"IR";"Assistance / Demande";10,5;"TMA"
"2023-09-30";"IR";"DS negoce";2;"TMA"
"2023-09-30";"IR";"Doublon facturation";3;"TMA"
"2023-09-30";"IR";"Reserve interpro";3;"TMA"
"2023-09-30";"IVSE";"Assistance / Demande";6;"TMA"
"2023-09-30";"IVSE";"SV12";8;"TMA"
"2023-09-30";"CIVA";"Reserve interpro";4,5;"TMA"
"2023-09-30";"CIVA";"Assistance / Demande";2,5;"TMA"
"2023-09-30";"CentreLoire";"Facturation Libre";7;"Forfait"
"2023-09-30";"CentreLoire";"Vrac export";5;"Forfait"
"2023-09-30";"BIVC";"Assistance / Demande";3,5;"TMA"
"2023-09-30";"NM";"Assistance / Demande";3,5;"TMA"
"2023-09-30";"CIVP";"Assistance / Demande";14;"TMA"
"2023-09-30";"CIVP";"Facturation";14;"Facturation"
