2019-10-31;"Tuenet";"TMA";"14.5";"Tuenet"
2019-10-31;"ODG";"TMA";15;
2019-10-31;"ODG Provence";"Dev";16;"Map parcellaires"
2019-11-30;"ODG Provence";"Dev";17;"Map parcellaires"
2019-12-31;"ODG Provence";"Dev";18;"Map parcellaires"
2019-12-31;"Reunion";;7;"Reunion Loire"
2019-12-31;"Reunion";;3,5;"Reunion Provence"
2020-02-14;"Reunion";;3,5;"Reunion Provence"
2020-02-14;"ODG Provence";;35;"Map parcellaires"
2020-03-04;"ODG Provence";"Dev";21;"Dénomination complémentaire"
2020-04-05;"ODG Provence";"Dev";6;"Dénomination complémentaire et Export parcellaire PDF"
2020-04-05;"Giilda CIVA";"TMA";4,5;"DRM pdf"
2020-04-05;"Giilda IVBD";"Dev";3;"DRM points de controles"
2020-04-13;"Giilda IVBD";"Dev";15;"DRM points de controles et test"
2020-05-31;"PlateauUrbain";"Dev";18;"CommunesMesures : Sprint 1 affichage des lieux"
2020-05-31;"Giilda IVBD";"TMA";"0.125";"DRM points de controles"
2020-06-30;"PlateauUrbain";"Dev";21;"CommunesMesures : Sprint 1 Questionnaire/illustration"
2020-07-31;"PlateauUrbain";"Dev";35;"CommunesMesures : Sprint 2 transformation questions du questionnaire et leurs utilisations "
2020-08-31;"PlateauUrbain";"Dev";35;"CommunesMesures : Sprint 3 utilisations des données "
2020-10-30;"PlateauUrbain";"Dev";7;"CommunesMesures : Sprint 4 Amélioration des interfaces"
2020-10-30;"PlateauUrbain";"Dev";14;"CommunesMesures : Mise en valeur des Lieux"
2020-10-30;"ODG";"Dev";7;"AVA : DRev"
"2020-11-31";"ODG";"Dev : Liste parcelles ceage";"0.125";"AVA : Parcellaire"
"2020-11-31";"ODG";"Dev:Drev spécificité, Déclassement, Dégustation pdf";"9.5";"VinIGP"
