Date;Client;Description;Temps (en heure);CatÃ©gorie
2025-11-30;NathanMode;Développement;22;Linup
2025-11-30;NathanMode;Finetuning;1,50;Linup
2025-11-30;CIVA;Sprint import vrac;14;Contrat
2025-11-30;CIVA;Déplacement réunion;7;Contrat
2025-11-30;CIVA;TMA;4;TMA
2025-11-30;BIVC;TMA;3,5;TMA
2025-11-30;AVA;TMA;2;TMA
2025-11-30;Aurouze;TMA;0,5;TMA
2025-11-30;VinsIGP;TMA;7;TMA
2025-11-30;Gaillac;TMA;5;TMA
2025-11-30;IR;TMA;1,5;TMA
2025-11-30;ODGRhone;TMA;3,5;TMA Manquant
2025-11-30;ODGRhone;TMA;3,5;TMA DRev
2025-11-30;ODGRhone;TMA;0,5;TMA Parcellaire
2025-11-30;CentreLoire;TMA;1,5;TMA
2025-11-30;IVBD;TMA;1,5;TMA
2025-11-30;IR;Assistance / Demande;10,5;TMA
2025-11-30;CIVP;Assistance / Demande;3,5;TMA
2025-11-30;IVSE;Assistance / Demande;2;TMA
2025-11-30;IR;Reunion;2;TMA
2025-11-30;NathanMode;Developpements;17,5;Linup
2025-11-30;NathanMode;FineTuning;10,5;Linup
2025-11-30;Gaillac;Forfait;7;Forfait
2025-11-30;Prodimmo;Metacompta;3,5;Prodimmo
2025-11-30;VinsIGP;TMA;7;TMA
2025-11-30;Juricaf;TMA + réunion;3,5;TMA
2025-11-30;ODGProvence;Sprint Controle;7;Controle
2025-11-30;ODGProvence;TMA;3,5;TMA
2025-11-30;ODGProvence;Facturation;3,5;TMA Facturation (décembre)
2025-11-30;ODGRhone;TMA;3,5;TMA DRev
2025-11-30;ODGRhone;AdminSys;3,5;AdminSys
2025-11-30;CentreLoire;TMA;7;TMA
2025-11-30;CIVA;TMA;3,5;TMA
2025-11-30;BIVC;TMA;7;TMA
2025-11-30;IGPSudOuest;TMA;3,5;TMA
2025-11-30;ODGNantes;TMA;3,5;TMA
2025-11-30;IR;TMA + Réunion;3,5;TMA
2025-11-30;IR;Sprint DV + Réunion;3,5;TMA
2025-11-30;CIVP;Sprint DV + Réunion;2,5;TMA
2025-11-30;IVSE;Sprint DV + Réunion;1;TMA
2025-11-30;ORessource;Dev;17,5;Dev
2025-11-30;IVSE;TMA VIP2C;3,5;TMA
2025-11-30;ORessource;Dev;15;Dev
2025-11-30;ODGProvence;Controle;14;Controle
2025-11-30;ODGProvence;Reunion;2;Controle
2025-11-30;ODGProvence;Optimisation bsswitch;2,0;TMA
2025-11-30;ODGRhone;Optimisation bsswitch;2,0;TMA
2025-11-30;AVA;Optimisation bsswitch;3,5;TMA
2025-11-30;VinsIGP;Optimisation bsswitch;3,5;TMA
2025-11-30;CentreLoire;Optimisation bsswitch;3,5;TMA
2025-11-30;Juricaf;Réunion;2;réunion
2025-11-30;IR;Sprint;2;TMA
2025-11-30;CIVP;Sprint + Reunion;1;TMA
2025-11-30;IVSE;Sprint + Reunion;0,5;TMA
2025-11-30;VinsIGP;TMA;3,5;TMA
2025-11-30;CIVA;TMA;3,5;TMA
2025-11-30;CIVA;Contrat;24,5;Contrat
2025-11-30;AVA;TMA;1,0;TMA
2025-11-30;CentreLoire;TMA;7,0;TMA
2025-11-30;ODGProvence;Controle;14,0;Controle
2025-11-30;CIVP;TMA;2,0;TMA
2025-11-30;Aurouze;TMA;7,0;TMA
2025-11-30;ORessource;Dev;10,5;Dev
2025-11-30;ODGRhone;TMA;1,0;TMA
2025-11-30;NathanMode;Linup;10,5;Linup
2025-11-30;NathanMode;Finetuning;10,5;Linup
