Projet;Tâche;Temps (en heure)
24eme;Administratif;1
24eme;Facturation;4,5
24eme;TOTAL;5,5
Actualys;Admin sys;4,5
Actualys;TOTAL;4,5
Aurouze;Chiffrage;1
Aurouze;Présentation;9
Aurouze;Rendez-vous;7
Aurouze;TOTAL;17
AVA;Chiffrage;2
AVA;Dégustation;53,5
AVA;DRev;9
AVA;Facturation;56
AVA;Parcellaire;10
AVA;Parcellaire crémant;1
AVA;TMA;0,5
AVA;TOTAL;132
CIVA;Chiffrage;3
CIVA;TMA;0,5
CIVA;TOTAL;3,5
DeclarVins;Garantie;4
DeclarVins;TMA;49,5
DeclarVins;TOTAL;53,5
VINSI;Télédeclaration DRM;81
VINSI;TMA;14
VINSI;TOTAL;95
