Date;Projet;Description;Temps (en heure);Tâche (pas obligatoire)
2015-04-01;VINSI;Ouverture d'un droit teledeclaration DRM + template mon espace + spécification des produits IGP;8;Télédeclaration DRM
2015-04-02;VINSI;Réunion Télédeclaration DRM avec Interloire;7;Télédeclaration DRM
2015-04-06;AVA;Gestion des courrier de dégustation par type de courrier;3,5;Dégustation
2015-04-07;AVA;Attribution des date de visite dans les courriers de dégustation et adaptation après maj schema;3,5;Dégustation
2015-04-08;AVA;Gestion du dépard des mails avec mails partis dans l'interface de dégustation;6;Dégustation
2015-04-09;VINSI;Création d'une mouture de PDF DRM pour la télédéclaration/Douane;7;Télédeclaration DRM
2015-04-10;VINSI;Export des factures avec infos opérateurs d'une année comptable;3;TMA
2015-04-13;VINSI;Retour sur l'export des factures avec infos opérateurs d'une année comptable avec le mois de janvier 2015;2;TMA
2015-04-13;VINSI;Seconde Version de PDF en colonnes fixes pour les DRM;5;Télédeclaration DRM
2015-04-14;VINSI;Initialisation de l'étape de choix de produits (1) pour les DRM;7;Télédeclaration DRM
2015-04-16;VINSI;Etape de choix de produits (1) mis en place des enregistrement de l'étape;3;Télédeclaration DRM
2015-04-20;VINSI;Mis à jour de l'étape de saisie (2) pour les DRM et de la reprise des produits choisi en (1);6;Télédeclaration DRM
2015-04-20;VINSI;Gestion du rail d'étape pour les DRM;1;Télédeclaration DRM
2015-04-21;VINSI;Mis à jour d'un patch pour que les contrat VINSI et Télédéclaré n'ait pas le même Id;3;TMA
2015-04-21;VINSI;Identification d'un problème et traitement du conflit entre Serveur de Télédeclaration et serveur Vinsi;4;TMA
2015-04-22;VINSI;Gestion du js sur la saisie (2) + colonne de droite et initialisation de l'étape CRD;9;Télédeclaration DRM
2015-04-23;VINSI;Réunion du sprint 3;7;Télédeclaration DRM
2015-04-27;VINSI;Mis à jour de l'étape (1) pour inverser le comportement des coches (coché = produit séléctionné);3;Télédeclaration DRM
2015-04-29;VINSI;Etape CRD (3) création des formulaires pour la saisie des CRD;4;Télédeclaration DRM
2015-04-29;24eme;Factures pour Gwen;1;Facturation
2015-04-30;24eme;Factures pour Gwen;2,5;Facturation
2015-04-30;24eme;Gestion Guesdon;1;Administratif
2015-04-30;AVA;Help pour la facturation;1;Facturation
2015-04-02;DeclarVins;Ticket 14494 et 14493;2,5;Garantie
2015-04-02;DeclarVins;Ticket 14449 et 14476;2;TMA
2015-04-02;DeclarVins;Gestion de projet;1;TMA
2015-04-03;DeclarVins;Ticket 14499;0,5;Garantie
2015-04-03;DeclarVins;Ticket 13794 14495 14312;3;TMA
2015-04-03;DeclarVins;Gestion de projet;0,5;TMA
2015-04-13;DeclarVins;Tickets 14521 14460 14527 14493 14499 14495;10;TMA
2015-04-14;DeclarVins;Ticket 14460;6;TMA
2015-04-16;DeclarVins;Ticket 14559 14556;4;TMA
2015-04-16;DeclarVins;Demandes de Brice cf mail du 14/04;3;TMA
2015-04-21;DeclarVins;Tickets 14586 14559 14585;3;TMA
2015-04-22;DeclarVins;Tickets 14607 14461 14606;6;TMA
2015-04-23;DeclarVins;Correction erreur 500;1;Garantie
2015-04-23;DeclarVins;Tickets 14387 14521;3;TMA
2015-04-24;DeclarVins;Point projet;1;TMA
2015-04-24;AVA;Template de la facture;52;Facturation
2015-04-27;DeclarVins;Tickets 14625 14630;3;TMA
2015-04-27;DeclarVins;Etude documents douanes et retours Brice;2;TMA
2015-04-30;DeclarVins;Conf call DeclarVins;2;TMA
2015-04-01;AVA;Adaptation de la dégustation et de l'affectation avec le nouveau modèle et la gestion des conflits;9;Dégustation
2015-04-02;VINSI;Réunion DRM;7;Télédeclaration DRM
2015-04-02;Aurouze;Revu du chiffrage;1;Chiffrage
2015-04-07;AVA;Merge branches nouveau modèle et PDF de dégustation;4;Dégustation
2015-04-08;AVA;Export du CSV Parcellaire;4;Parcellaire
2015-04-08;AVA;Correction wording courrier dégustation;0,5;Dégustation
2015-04-08;AVA;Chiffrage Evolution et constat VT/SGN;2;Chiffrage
2015-04-09;AVA;Fixe bug report sur les tournées;1;Dégustation
2015-04-09;AVA;Courrier de la dégustation;3;Dégustation
2015-04-10;AVA;Courriers Dégustation PDF + envoi en plusieurs fois;5;Dégustation
2015-04-10;AVA;Liste des déclarations de parcellaire crémant en admin;1;Parcellaire
2015-04-13;Aurouze;Présentation;7;Présentation
2015-04-14;Aurouze;Présentation;2;Présentation
2015-04-14;AVA;Fixe bug export contacts;0,5;TMA
2015-04-15;Aurouze;Rendez-vous;7;Rendez-vous
2015-04-16;CIVA;Fixe url mail mot de passe oublié;0,5;TMA
2015-04-17;AVA;Gestion des reports avec le nouveau modèle;1;Dégustation
2015-04-17;AVA;Export CSV de la DRev;3;DRev
2015-04-17;AVA;Import de la DR dans les DRev;2;DRev
2015-04-20;AVA;Fixe Autorisation de transmission dans le parcellaire;1;Parcellaire
2015-04-20;AVA;Export CSV de la DRev;2;DRev
2015-04-20;AVA;Export CSV de la DRev;2;DRev
2015-04-20;AVA;Import VT / SGN dégustateurs;1;Dégustation
2015-04-21;AVA;Export CSV du parcellaire aux acheteurs corrigés;1;Parcellaire
2015-04-21;VINSI;Résolution de problème de conflits de Contrats entre Agarik et VINSI suite à l'inactivité du VPN;2;TMA
2015-04-22;AVA;Adaptation de la tournée au VTSGN;3;Dégustation
2015-04-22;AVA;Mail correctif tournées;2;Dégustation
2015-04-22;AVA;Export CSV du parcellaire aux acheteurs corrigés;3;Parcellaire
2015-04-23;VINSI;Réunion;7;Télédeclaration DRM
2015-04-24;CIVA;Chiffrage DRM;3;Chiffrage
2015-04-24;24eme;Facturation mars;1;Facturation
2015-04-26;AVA;Adaptation de la saisie des tournées au VTSGN;7;Dégustation
2015-04-27;AVA;Saisie papier du parcellaire crémant;1;Parcellaire crémant
2015-04-28;Actualys;Récapitulatif des machines interne chez Actualys;1;Admin sys
2015-04-28;AVA;Adaptation de l'affectation et de la dégustation aux VTSGN;3;Dégustation
2015-04-29;AVA;Facturation (Gestion de projet);1;Facturation
2015-04-29;AVA;Défauts dans l'interface de dégustation;1;Dégustation
2015-04-30;AVA;Facturation (Gestion de projet);2;Facturation
2015-04-30;Actualys;Aide à la migration des repos sur github;3,5;Admin sys
