Date	Projet	Description	Temps (en heure)	Tache
2016-07-01	GIILDA	Debug facturation	1	Dév
2016-07-01	GIILDA	Merge avec le CIVA	2,5	Télédéclaration
2016-07-01	Giilda	Télédeclaration avec mutualisation fctlités civa 	7	Télédeclaration
2016-07-04	Giilda	Télédeclaration DRM vue et PDF 	7	Télédeclaration
2016-07-06	Giilda	Tache annuaire	2	Télédeclaration
2016-07-07	Giilda	Mis à jour des mouvements avec Acq et Susp	2	Télédeclaration
2016-07-18	Giilda	Bug reprise DRM avec Acq et Susp	3	Télédeclaration
2016-07-19	Giilda	Déploiement Préprod IVBD	3	Télédeclaration
2016-07-19	Giilda	Inté pour les espaces d'accueil	3	Télédeclaration
2016-07-20	Giilda	générisisation des mails	3	Télédeclaration
2016-07-20	Giilda	Inté et picto	3	Télédeclaration
2016-07-21	Giilda	Inté des mdp oublié, espace compte...	7	Télédeclaration
2016-07-22	Giilda	Adaptation Vrac pour courtier	4	Télédeclaration
2016-07-22	Giilda	Déploiement Préprod IVSO	3	Télédeclaration
2016-07-25	Giilda	Adaptation écran Soussignés	4	Télédeclaration
2016-07-26	Giilda	Reprise Js d'avant	1	Télédeclaration
2016-07-29	Giilda	Mis à jour préprod IVSO et correction bugs	5	Télédeclaration
