Date;Projet;Description;Temps (en heure);Tache
2017-01-02;EliteAuto;Intégration;3,5;EliteAuto
2017-01-03;EliteAuto;Intégration;3,5;EliteAuto
2017-01-04;EliteAuto;Intégration;3,5;EliteAuto
2017-01-06;EliteAuto;Intégration;3,5;EliteAuto
2017-01-09;EliteAuto;Dev;4;Forfait
2017-01-09;EliteAuto;Intégration;5;EliteAuto
2017-01-10;EliteAuto;Dev;6;Forfait
2017-01-10;EliteAuto;Intégration;2;EliteAuto
2017-01-11;EliteAuto;Dev a coignieres;7;Forfait
2017-01-11;EliteAuto;Intégration;7;EliteAuto
2017-01-12;EliteAuto;Dev a coignieres;7;Forfait
2017-01-12;EliteAuto;Intégration;7;EliteAuto
2017-01-12;EliteAuto;recherche et critères plus ;7;EliteAuto
2017-01-24;EliteAuto;Comparateur;7;Forfait
2017-01-24;EliteAuto;Intégration;8;EliteAuto
2017-01-25;EliteAuto;fineTunig;7;FineTuning
2017-01-25;EliteAuto;Fine tunning;7;Forfait
2017-01-25;EliteAuto;Intégration;7;EliteAuto
2017-01-26;EliteAuto;fineTunig;7;FineTuning
2017-01-26;EliteAuto;Fine tunning;7;Forfait
2017-01-26;EliteAuto;Intégration;7;EliteAuto
2017-01-30;EliteAuto;Correction d'un bug;1;EliteAuto
