Date;Projet;Description;Temps (en heure);Tache
2018-01-08;ODGProvence;Merge avec l'AVA;4;OpenODG
2018-01-10;ODGProvence;Reunion;4;Forfait
2018-01-10;ODGProvence;Réunion commercial;3,5;Commercial
2018-01-10;ODGProvence;Réunion de lancement projet;3;Commercial
2018-01-11;ODGProvence;Merge avec l'AVA;3,5;OpenODG
2018-01-12;ODGProvence;Merge avec l'AVA;3,5;OpenODG
2018-01-23;ODGProvence;Création appplication dans ODGProvence;4,5;Lot 1
2018-01-24;ODGProvence;Début de l'adaptation du parcellaire;2;Lot 1
2018-01-29;ODGProvence;Adaptation parcellaire;5;Lot 1
2018-01-31;ODGProvence;Début import;3;Forfait
