Date;Projet;Description;Temps (en heure);Tache
2018-04-02;24ème;Conges;7;Conges
2018-04-03;24ème;Conges;7;Conges
2018-04-05;24ème;Compta;2;
2018-04-06;24ème;Compta Facturation;6;
2018-04-06;24ème;Facturation;1;24ème
2018-04-06;24ème;Temps et facturation;2,5;24ème
2018-04-11;24ème;tactical;;
2018-04-11;24ème;Tactical;3,5;24ème
2018-04-11;24ème;Tactical;3,5;TM
2018-04-17;24ème;infrastructurel;;
2018-04-17;24ème;Infrastrucures et intégration continue BIVC;6;24ème
2018-04-17;24ème;journee blanche Infra;7;interne
2018-04-18;24ème;Sysnove;2;
2018-04-20;24ème;Conges;7;Conges
2018-04-23;24ème;Conges;7;Conges
2018-04-23;24ème;revision;2;
2018-04-24;24ème;Gestion sysnove;1;24ème
2018-04-25;24ème;Amélioration de la visu tinc recherche et image;1,5;24ème
2018-04-25;24ème;revision;2;
2018-04-27;24ème;Admin sys synove;2;24ème
2018-04-30;24ème;Admin sys synove;5,5;24ème
2018-04-30;24ème;Congés;;
