Date;Projet;Description;Temps (en heure);Tache
2018-04-03;Sancerre;Vrac sans prix;2;TMA
2018-04-04;Sancerre;Rattrapage de facturation pourrie;2;TMA
2018-04-05;Sancerre;Vrac sans prix;1,5;TMA
2018-04-12;Sancerre;Corrections de factures dont l'émetteur était vide + simplification;2;TMA
2018-04-13;Sancerre;Debug des facturations SV12 pourris;4;TMA
2018-04-24;Sancerre;Catalogue produit;5;TMA
2018-04-25;Sancerre;Catalogue produit;1,5;TMA
2018-04-25;Sancerre;libelles persos;2;TMA
2018-04-26;Sancerre;Gestion vinisoft;1;TMA
2018-04-30;Sancerre;Gestion vinisoft;1;TMA
