Date;Projet;Description;Temps (en heure);Tache
2018-04-05;VINSI;debug et tickets;2,5;TMA
2018-04-06;VINSI;tickets et retour douane pertinent;4;TMA
2018-04-09;VINSI;gestion retours douanes;2;TMA
2018-04-10;VINSI;Corrections DRM;1,5;TMA
2018-04-10;VINSI;verification contrat EDI;2;TMA
2018-04-13;VINSI;Bug droit;0,5;TMA
2018-04-16;VINSI;Adaptation Factures;2;TMA
2018-04-16;VINSI;Denomination Complementaire;5;TMA
2018-04-18;VINSI;Denom compl;1,5;TMA
2018-04-18;VINSI;Ouverture comptes Tests et entretiens catalogue produit;2,5;TMA
2018-04-24;VINSI;Denom compl;2;TMA
2018-04-25;VINSI;Denom compl;3,5;TMA
2018-04-27;VINSI;DRM a problemes;1;TMA
2018-04-27;VINSI;Sv12 contrat;2;TMA
2018-04-30;VINSI;Bug stocks des mouvements quand modificatrice;1,5;TMA
2018-04-30;VINSI;Denom compl;1;TMA
