Date;Projet;Description;Temps (en heure);Tache
2018-05-04;OdgRhone;Lancement mis à jour des données ;1,5;TMA
2018-05-07;OdgRhone;Vérifs migration comptes et mis à jour mineures;1;TMA
2018-05-09;OdgRhone;possibilité de supprimer des des interlocuteurs;1;TMA
2018-05-09;OdgRhone;réparation export habilitation;1;TMA
2018-05-14;OdgRhone;Bug email de création;3;TMA Non facturable
2018-05-14;OdgRhone;Debug enregistremlent compte regexp sur site internet ;1;TMA
2018-05-14;OdgRhone;problème export habilitation;1;TMA
2018-05-18;OdgRhone;Prise rendezvous ;1;Non facturable
2018-05-18;OdgRhone;réindexation moteur de recherche ;2;TMA
2018-05-18;OdgRhone;réindexation moteur de recherche ;2;TMA
2018-05-28;OdgRhone;Chiffrage lot 2;2;Forfait
2018-05-30;OdgRhone;Exports colonnes adresses;2,5;TMA
