Date;Projet;Description;Temps (en heure);Tache
2018-06-08;BIVC;retrait pour tous de caution l'oganisme cautionneur dans le formulaire etablissement de drm;3,5;TMA
2018-06-14;BIVC;Ordre factures libres et orthographe;2;TMA
2018-06-19;BIVC; retour douane;3,5;TMA
2018-06-20;BIVC;conf retour douane;2;TMA
2018-06-25;BIVC;bug stats;2;TMA
2018-06-26;BIVC; tickets les produits ajouté en auto et crd par defaut;5,5;TMA
2018-06-27;BIVC; tickets wording et factures;2;TMA
2018-06-30;BIVC;;10,5;TMA
2018-06-30;BIVC;Activation tags automatique export et produit;;TMA
2018-06-30;BIVC;Amélioration ergonomie de la facturation libre et de la saisie au clavier des popups d'export;;TMA
2018-06-30;BIVC;Bug transmission DRM;;TMA
2018-06-30;BIVC;Correction bug facturation libre;;TMA
2018-06-30;BIVC;Correction calcul total popup export;;TMA
2018-06-30;BIVC;Correction de l'email dans le mail envoyé la validation d'une DRM;;TMA
2018-06-30;BIVC;Inversion d'ordre entre IGP et Vins sans IG;;TMA
