Date;Projet;Description;Temps (en heure);Tache
2018-07-06;InterRhone; DAE;5;Forfait
2018-07-09;InterRhone; DAE;4,5;Forfait
2018-07-09;InterRhone;DAE;7;Forfait
2018-07-10;InterRhone; DAE;2,5;Forfait
2018-07-11;InterRhone;DAE;7;Forfait
2018-07-12;InterRhone;DAE;7;Forfait
2018-07-13;InterRhone;DAE;7;Forfait
2018-07-16;InterRhone;DAE;7;Forfait
2018-07-17;InterRhone;DAE;7;Forfait
2018-07-18;InterRhone;DAE;7;Forfait
2018-07-19;InterRhone;Reunion DAE;7;Forfait
2018-07-24;InterRhone;DAE;6;TMA
2018-07-26;InterRhone;DAE;4;TMA
2018-07-30;InterRhone;DAE;1;TMA
2018-07-30;InterRhone; DAE EDI;5;Forfait
2018-07-31;InterRhone;DAE;4;TMA
2018-07-31;InterRhone; DAE EDI;2;Forfait
