Date;Projet;Description;Temps (en heure);Tache
2018-11-05;CNIV;gestion claranet;1;TMA
2018-11-06;CNIV;gestion claranet;1;TMA
2018-11-07;CNIV;gestion claranet;0,5;TMA
2018-11-09;CNIV;Accompagnement CIVCorse;0,5;TMA
2018-11-12;CNIV;Accompagnement CIVCorse;1;TMA
2018-11-21;CNIV;Accompagnement CIVCorse;1;TMA
2018-11-23;CNIV;Accompagnement CIVCorse;0,5;TMA
2018-11-30;CNIV;Bilan - interruption de service;7,0;TMA
2018-11-30;CNIV;Direction technique;0,5;TMA
2018-11-30;CNIV;Divers admyn sys;0,5;TMA
2018-11-30;CNIV;IPSec;0,5;MigrationLS
