Date;Projet;Description;Temps (en heure);Tache
2018-12-03;IVBD;statistique contrats;5;Stats
2018-12-06;IVBD;drm a retransmettre;1,5;Stats
2018-12-07;IVBD;drm a retransmettre;1,5;Stats
2018-12-10;IVBD;drm a retransmettre;1;TMA
2018-12-11;IVBD;Bug creation societe / Assistance DRM CIEL;2;TMA
2018-12-13;IVBD;Indexation donnees / intervention catalogue produit;2,5;TMA
2018-12-14;IVBD;PDF contrat;2,5;TMA
2018-12-17;IVBD;Creation produits VCI;1;TMA
2018-12-20;IVBD;Creation portail de test pour EDI et debug EDI;3,5;TMA
2018-12-20;IVBD;Editeurs / automatisation catalogue produit;2;TMA
2018-12-21;IVBD;Editeurs / automatisation catalogue mouvement;2;TMA
2018-12-27;IVBD;modification email;1;TMA
2018-12-31;IVBD;Problème de facturation;2,0;TMA
2018-12-31;IVBD;TMA Direction technique;3,5;TMA
