Date;Projet;Description;Temps (en heure);Tache
2019-03-04;24eme;Temps;;
2019-03-05;24eme;Tactical Meeting;;
2019-03-05;24eme;tactical meeting;3;24eme
2019-03-11;24eme;Facturation;;
2019-03-15;24eme;Compta;;
2019-03-15;24eme;Congès;7;interne
2019-03-18;24eme;Congès;7;interne
2019-03-19;24eme;Congès;7;interne
2019-03-20;24eme;Congès;7;interne
2019-03-21;24eme;Congès;7;interne
2019-03-22;24eme;Congès;7;interne
2019-03-22;24eme;Revision cooperative;;
2019-03-25;24eme;Congès;7;interne
2019-03-26;24eme;Congès;7;interne
2019-03-26;24eme;Fauchon + Inno3;;
2019-03-27;24eme;Congès;7;interne
2019-03-28;24eme;Congès;7;interne
2019-03-29;24eme;Changement d'adresse et révision coop;3,5;24eme
2019-03-29;24eme;Congès;7;interne
