Date;Projet;Description;Temps (en heure);Tache
2019-07-12;Aurouze;probleme paiement;1,5;TMA
2019-07-22;Aurouze;Assistance / Demandes;1;TMA
2019-07-22;Aurouze;Prélèvement;2;TMA Prélèvement
2019-07-22;Aurouze;Recherche par tag;5;TMA Recherche
2019-07-24;Aurouze;Prélèvement;7;TMA Prélèvement
2019-07-25;Aurouze;Récap dans les contrats;5;TMA Contrats
2019-07-26;Aurouze;2nd email pour le rapport;5;TMA Tournées
2019-07-26;Aurouze;Assistance / Demandes;1,5;TMA Tuenet
2019-07-26;Aurouze;Fix récap contrat;1;TMA Contrats
2019-07-29;Aurouze;tma diverse;3;TMA Tuenet
2019-07-31;Aurouze;TMA Tuenet;7,0;TMA Tuenet
