Date;Projet;Description;Temps (en heure);Tache
2019-11-08;IVSO;Time limit à 0 import CSV;1;TMA
2019-11-08;IVSO;Transmission DRM;1;TMA
2019-11-08;IVSO;transmission drm;3,5;TMA
2019-11-08;IVSO;XML Negoce;2;TMA
2019-11-15;IVSO;ajour bio export;1;TMA
2019-11-20;IVSO;Assistance / Demandes CAS/Ldap et DRM;2;TMA
2019-11-26;IVSO;drm deblocage;0,5;TMA
2019-11-27;IVSO;drm deblocage;0,5;TMA
2019-11-30;IVSO;TMA Direction technique;7;TMA
2019-11-30;IVSO;TMA DRM, mise à dipo drm floc gascogne, connexion ldap;10,5;TMA
