Date;Projet;Description;Temps (en heure);Tache
2020-02-05;ODGNantes;import de donnee ;7;Forfait
2020-02-06;ODGNantes;import de donnee ;7;Forfait
2020-02-10;ODGNantes;fine tuning ;7;Forfait
2020-02-11;ODGNantes;import de donnee ;4;Forfait
2020-02-13;ODGNantes;tickets ;5;Forfait
2020-02-17;ODGNantes;import de donnee ;7;Forfait
2020-02-19;ODGNantes;import de donnee et ticket;7;Forfait
2020-02-24;ODGNantes;Factures;2;Forfait
2020-02-24;ODGNantes;import de donnee et ticket;4;Forfait
2020-02-25;ODGNantes;Check quantité 0;0,5;Forfait
2020-02-25;ODGNantes;Nav;2;Forfait
2020-02-26;ODGNantes;Facture;1;Forfait
2020-02-26;ODGNantes;import de donnee cote loire;3;Forfait
2020-02-27;ODGNantes;Export contact;1;Forfait
2020-02-27;ODGNantes;Facture;2;Forfait
2020-02-27;ODGNantes;import de donnee et facturation;7;Forfait
2020-02-28;ODGNantes;AdminSys;14;Forfait
2020-02-28;ODGNantes;Dév;14;Forfait
2020-02-28;ODGNantes;facturation;5;Forfait
2020-02-28;ODGNantes;Facture;1;Forfait
2020-02-28;ODGNantes;Finetuning;7;Forfait
2020-02-28;ODGNantes;Scrape Parcellaire;2;Forfait
2020-02-29;ODGNantes;Direction technique;3,5;Forfait DT
