Date;Projet;Description;Temps (en heure);Tache
2020-03-02;ODGNantes;PDF facture;1;Forfait
2020-03-03;ODGNantes;PDF facture;1;ForfaiOt
2020-03-04;ODGNantes;import de donnee cote loire;3;Forfait
2020-03-05;ODGNantes;import de donnee cote loire;1;Forfait
2020-03-06;ODGNantes;facturation avec forfait;4;Forfait
2020-03-09;ODGNantes;facturation avec forfait;3;Forfait
2020-03-10;ODGNantes;facturation avec forfait;2;Forfait
2020-03-11;ODGNantes;facturation avec forfait;1;Forfait
2020-03-12;ODGNantes;facturation avec forfait;1;Forfait
2020-03-13;ODGNantes;facturation avec forfait;4;Forfait
2020-03-16;ODGNantes;import de donnee cote loire;3;Forfait
2020-03-18;ODGNantes;import de donnee cote loire;2;Forfait
2020-03-19;ODGNantes;import de donnee cote loire;3;Forfait
2020-03-20;ODGNantes;import de donnee cote loire;2;Forfait
2020-03-23;ODGNantes;facturation mise en prod;2;Forfait
2020-03-24;ODGNantes;facturation mise en prod;1;Forfait
2020-03-26;ODGNantes;export et reglements;3;Forfait
2020-03-30;ODGNantes;export et reglements;4;Forfait
2020-03-31;ODGNantes;AdminSys;7;Forfait
2020-03-31;ODGNantes;Dév;7;Forfait
2020-03-31;ODGNantes;export déplacement;3;Forfait
