Date;Projet;Description;Temps (en heure);Tache
2020-05-07;CommuneMesure;debut vue;1;Forfait
2020-05-07;CommuneMesure;Mise en place projet;1;Forfait
2020-05-14;CommuneMesure;json exemple lieu;1;Forfait
2020-05-14;CommuneMesure;route/controller page d'accueil;2;Forfait
2020-05-15;CommuneMesure;popup carte pour info lieu;2;Forfait
2020-05-15;CommuneMesure;view page d'accueil;2;Forfait
2020-05-18;CommuneMesure;Bulma pour framework;1;Forfait
2020-05-18;CommuneMesure;Map;0,5;Forfait
2020-05-18;CommuneMesure;Stylage lieu;2;Forfait
2020-05-20;CommuneMesure;Bulma.min;0,5;Forfait
2020-05-20;CommuneMesure;Page static a propos;1;Forfait
2020-05-28;CommuneMesure;Deplacement submenu dans section;1;Forfait
2020-05-28;CommuneMesure;rework controller;1,5;Forfait
2020-05-28;CommuneMesure;rework page lieu;1;Forfait
2020-05-28;CommuneMesure;submenu lieu;2;Forfait
2020-05-29;CommuneMesure;carte page lieu;1;Forfait
2020-05-29;CommuneMesure;Scrollspy submenu;1,5;Forfait
2020-05-31;CommuneMesure;Sprint 1 affichage des lieux;18;Forfait
