Date;Projet;Description;Temps (en heure);Tache
2020-12-01;VinIGP;gestion des specificite et dev degustateur;5,5;Forfait
2020-12-02;VinIGP;interfaces et tests;5,5;Forfait
2020-12-03;VinIGP;refonte visu drev lots;7;Forfait
2020-12-04;VinIGP;refonte visu drev lots;7;Forfait
2020-12-07;VinIGP;historique lots;6;Forfait
2020-12-08;VinIGP;sprint4;3;Reunion
2020-12-14;VinIGP;Import;10;Forfait
2020-12-28;VinIGP;remonte et gestion validation chgdenom;3,5;Forfait
2020-12-29;VinIGP;coherence dégustateurs;1,5;Forfait
2020-12-30;VinIGP;prise en compte de la campagne dans la visu lots;2;Forfait
2020-12-31;VinIGP;Dév;10,5;Forfait
2020-12-31;VinIGP;"Dev:Drev suppression lots, synthèse igp";14;Forfait
2020-12-31;VinIGP;Developpement;5;Forfait
2020-12-31;VinIGP;Developpements;28;Forfait
2020-12-31;VinIGP;Direction technique;14;Forfait
2020-12-31;VinIGP;PDF;14;Forfait
