Date;Projet;Description;Temps (en heure);Tache
2021-02-15;VinsIGP;reorga etapes de saisie;7;Forfait
2021-02-16;VinsIGP;etape notification;3,5;Forfait
2021-02-16;VinsIGP;reu;3,5;Forfait reunion
2021-02-16;VinsIGP;Réunion;3,5;Réunion
2021-02-17;VinsIGP;Notification mails;5,5;Forfait
2021-02-18;VinsIGP;refonte send mails notif;6,5;Forfait
2021-02-19;VinsIGP;mis en place test et liens;6;Forfait
2021-02-28;VinsIGP;Dév;42;Forfait
2021-02-28;VinsIGP;Developpements;7;Forfait
2021-02-28;VinsIGP;Direction technique;7;Forfait
2021-02-28;VinsIGP;Pt bloquant Lot(pas de produits), Lot degustable;35;Forfait
