Projet;Tâche;Temps (en heure);Temps (en jours)
AlmaCersius;Forfait;28;4,0
AlmaCersius;TOTAL;28;4,0
Aurouze;TMA;16;2,3
Aurouze;TOTAL;16;2,3
AVA;TMA;31,5;4,5
AVA;TOTAL;31,5;4,5
BIVC;TMA;3,5;0,5
BIVC;TOTAL;3,5;0,5
CentreLoire;Forfait;7;1,0
CentreLoire;TMA;21;3,0
CentreLoire;TOTAL;28;4,0
CIVA;Évolutions Tiers;99;14,1
CIVA;TMA;7;1,0
CIVA;TOTAL;106;15,1
CIVP;TMA;14;2,0
CIVP;TOTAL;14;2,0
CNIV;TMA;3,5;0,5
CNIV;TOTAL;3,5;0,5
IR;TMA;15,5;2,2
IR;TOTAL;15,5;2,2
IVBD;TMA;1;0,1
IVBD;TOTAL;1;0,1
IVSE;TMA;1;0,1
IVSE;TOTAL;1;0,1
IVSO;NutriVin;3,5;0,5
IVSO;TMA;1,5;0,2
IVSO;TOTAL;5;0,7
Juricaf;TMA;28;4,0
Juricaf;TOTAL;28;4,0
NathanMode;Forfait;33,25;4,8
NathanMode;Réunion;2;0,3
NathanMode;TMA;8,75;1,2
NathanMode;TOTAL;44;6,3
ODGNantes;TMA;1;0,1
ODGNantes;TOTAL;1;0,1
ODGProvence;Potentiel de production;21;3,0
ODGProvence;Réunion;2,5;0,4
ODGProvence;TMA;10,5;1,5
ODGProvence;TOTAL;34;4,9
ODGRhone;Réunion;2;0,3
ODGRhone;TMA;3,5;0,5
ODGRhone;TOTAL;5,5;0,8
Ventoux;Forfait;35;5,0
Ventoux;TOTAL;35;5,0
VinsIGP;TMA;10,5;1,5
VinsIGP;TOTAL;10,5;1,5
TOTAL;TOTAL;58,7
