Client;Catégorie;Temps (en heure);Temps (en jours)
ADM;Forfait;24,5;3,5
ADM;TOTAL;24,5;3,5
Aurouze;Sprint;9;1,3
Aurouze;TMA;4,5;0,6
Aurouze;TOTAL;13,5;1,9
AVA;TMA;8;1,1
AVA;TOTAL;8;1,1
BIVC;TMA;3,5;0,5
BIVC;TOTAL;3,5;0,5
CIVA;TMA;18,5;2,6
CIVA;TOTAL;18,5;2,6
CIVP;TMA;17,5;2,5
CIVP;TOTAL;17,5;2,5
CNIV;TMA;3,5;0,5
CNIV;TOTAL;3,5;0,5
Gaillac;Forfait;90;12,9
Gaillac;TOTAL;90;12,9
IGPSudOuest;Forfait;63;9,0
IGPSudOuest;TOTAL;63;9,0
IR;TMA;7;1,0
IR;TOTAL;7;1,0
IVBD;TMA;3,5;0,5
IVBD;TOTAL;3,5;0,5
IVSE;TMA;1;0,1
IVSE;TOTAL;1;0,1
IVSO;TMA;3,5;0,5
IVSO;TOTAL;3,5;0,5
Juricaf;TMA;3,5;0,5
Juricaf;TOTAL;3,5;0,5
NathanMode;Forfait;56,5;8,1
NathanMode;TOTAL;56,5;8,1
NLNet;Booklet;14;2,0
NLNet;DeletionLink;7;1,0
NLNet;FactureX;3,5;0,5
NLNet;Format;10,5;1,5
NLNet;Opti;4;0,6
NLNet;Toolbox;21;3,0
NLNet;Watermark;2,5;0,4
NLNet;TOTAL;62,5;8,9
ODGProvence;Sprint;10,5;1,5
ODGProvence;TMA;4;0,6
ODGProvence;TOTAL;14,5;2,1
VinsIGP;TMA;15,5;2,2
VinsIGP;TOTAL;15,5;2,2
TOTAL;TOTAL;58,5
