Date;Client;Description;Temps (en heure);CatÃ©gorie
2026-03-31;IR;Assistance / Demande;24,5;TMA
2026-03-31;CIVP;Assistance / Demande;10,5;TMA
2026-03-31;CIVP;Evolutions cravate;10,5;TMA
2026-03-31;NathanMode;Assistance / Demande;1;Linup
2026-03-31;ODGProvence;Developpements;14;Controle
2026-03-31;ODGProvence;Fine tuning;10,5;Controle
2026-03-31;VinsIGP;Assistance / Demande;3,5;TMA
2026-03-31;CIVA;Assistance / Demande;2;TMA
2026-03-31;AVA;Assistance / Demande;1;TMA
2026-03-31;Aurouze;Assistance / Demande Tuenet;1;TMA
2026-03-31;IVSO;Developpement;17,5;ContratCahors
2026-03-31;IVSO;Optimisations listing utilisateur;10,5;NutriVin
2026-03-31;IVSO;Export qrcode facturation;17,5;NutriVin
2026-03-31;CIVA;TMA;1,5;TMA
2026-03-31;CIVA;Dev vracs;7;Contrat
2026-03-31;CIVA;Fine tuning;7;Contrat FT
2026-03-31;VinsIGP;TMA;7,0;TMA
2026-03-31;CentreLoire;TMA;1,0;TMA
2026-03-31;Juricaf;AdminSys;3,5;TMA
2026-03-31;AVA;TMA;21,0;TMA
2026-03-31;CIVA;TMA;7,0;TMA
2026-03-31;CIVA;Contrat;17,5;Contrat
2026-03-31;CIVA;FineTuning;7,0;Contrat FT
2026-03-31;ODGNantes;TMA;10,5;TMA
2026-03-31;BIVC;TMA;3,5;TMA
2026-03-31;NLNet;Ergonomie;7,0;SignaturePDF
2026-03-31;Ventoux;Evolutions;17,5;Evolutions
2026-03-31;Aurouze;TMA;2,0;TMA
2026-03-31;Aurouze;TMA;4;TMA
2026-03-31;Aurouze;Développements;4,5;TMA
2026-03-31;VinsIGP;Développements;9;TMA
2026-03-31;VinsIGP;TMA;2;TMA
2026-03-31;VinsIGP;Sprint - Prise de Mousse;10;PDM
2026-03-31;Juricaf;TMA - Réunion;3,5;TMA
2026-03-31;CIVA;Sprint - Contrats;1,5;Contrat
2026-03-31;CIVA;Finetuning - contrats;7;Contrat FT
2026-03-31;Gaillac;TMA;1;TMA
2026-03-31;VinsIGP;TMA;3,5;TMA
2026-03-31;ODGRhone;TMA DR/Drev;3,5;TMA DR
2026-03-31;ODGRhone;TMA Parcellaire;3,5;TMA Parcellaire
2026-03-31;ODGNantes;TMA;3,5;TMA
2026-03-31;VinsIGP;Sprint Prise de Mousse;10,5;PDM
2026-03-31;IGPSudOuest;TMA;3,5;TMA
2026-03-31;IVSO;TMA - Vue quand l'utilisateur n'existe pas;1;NutriVin
2026-03-31;AdminSys;AdminSys;3,5;AdminSys
2026-03-31;ODGProvence;Sprint Controle;17,5;Controle
2026-03-31;Juricaf;TMA - réunion;3,5;TMA
2026-03-31;Juricaf;TMA - blocage robots;10,5;TMA
2026-03-31;ODGProvence;Sprint Controle;31,5;Controle
2026-03-31;VinsIGP;Sprint Prise de Mousse;1;PDM
2026-03-31;ODGRhone;Sprint Import Irrigables;14;Irrigables
