Date;Projet;Description;Temps (en heure);Tâche (pas obligatoire)
2025-11-30;VinsIGP;TMA;7;TMA
2025-11-30;VinsIGP;TMA;7;TMA
2025-11-30;VinsIGP;TMA;3,5;TMA
2025-11-30;VinsIGP;Optimisation bsswitch;3,5;TMA
2025-11-30;Prodimmo;Metacompta;3,5;Prodimmo
2025-11-30;ORessource;Dev;17,5;Dev
2025-11-30;ORessource;Dev;15;Dev
2025-11-30;ORessource;Dev;10,5;Dev
2025-11-30;ODGRhone;TMA;3,5;TMA Manquant
2025-11-30;ODGRhone;TMA;3,5;TMA DRev
2025-11-30;ODGRhone;TMA;3,5;TMA DRev
2025-11-30;ODGRhone;TMA;1,0;TMA
2025-11-30;ODGRhone;TMA;0,5;TMA Parcellaire
2025-11-30;ODGRhone;Optimisation bsswitch;2,0;TMA
2025-11-30;ODGRhone;AdminSys;3,5;AdminSys
2025-11-30;ODGProvence;TMA;3,5;TMA
2025-11-30;ODGProvence;Sprint Controle;7;Controle
2025-11-30;ODGProvence;Reunion;2;Controle
2025-11-30;ODGProvence;Optimisation bsswitch;2,0;TMA
2025-11-30;ODGProvence;Facturation;3,5;TMA Facturation (d�cembre)
2025-11-30;ODGProvence;Controle;14;Controle
2025-11-30;ODGProvence;Controle;14,0;Controle
2025-11-30;ODGNantes;TMA;3,5;TMA
2025-11-30;NathanMode;Linup;10,5;Linup
2025-11-30;NathanMode;Finetuning;1,50;Linup
2025-11-30;NathanMode;FineTuning;10,5;Linup
2025-11-30;NathanMode;Finetuning;10,5;Linup
2025-11-30;NathanMode;D�veloppement;22;Linup
2025-11-30;NathanMode;Developpements;17,5;Linup
2025-11-30;Juricaf;TMA + r�union;3,5;TMA
2025-11-30;Juricaf;R�union;2;r�union
2025-11-30;IVSE;TMA VIP2C;3,5;TMA
2025-11-30;IVSE;Sprint + Reunion;0,5;TMA
2025-11-30;IVSE;Sprint DV + R�union;1;TMA
2025-11-30;IVSE;Assistance / Demande;2;TMA
2025-11-30;IVBD;TMA;1,5;TMA
2025-11-30;IR;TMA + R�union;3,5;TMA
2025-11-30;IR;TMA;1,5;TMA
2025-11-30;IR;Sprint DV + R�union;3,5;TMA
2025-11-30;IR;Sprint;2;TMA
2025-11-30;IR;Reunion;2;TMA
2025-11-30;IR;Assistance / Demande;10,5;TMA
2025-11-30;IGPSudOuest;TMA;3,5;TMA
2025-11-30;Gaillac;TMA;5;TMA
2025-11-30;Gaillac;Forfait;7;Forfait
2025-11-30;CIVP;TMA;2,0;TMA
2025-11-30;CIVP;Sprint + Reunion;1;TMA
2025-11-30;CIVP;Sprint DV + R�union;2,5;TMA
2025-11-30;CIVP;Assistance / Demande;3,5;TMA
2025-11-30;CIVA;TMA;4;TMA
2025-11-30;CIVA;TMA;3,5;TMA
2025-11-30;CIVA;TMA;3,5;TMA
2025-11-30;CIVA;Sprint import vrac;14;Contrat
2025-11-30;CIVA;D�placement r�union;7;Contrat
2025-11-30;CIVA;Contrat;24,5;Contrat
2025-11-30;CentreLoire;TMA;7;TMA
2025-11-30;CentreLoire;TMA;7,0;TMA
2025-11-30;CentreLoire;TMA;1,5;TMA
2025-11-30;CentreLoire;Optimisation bsswitch;3,5;TMA
2025-11-30;BIVC;TMA;7;TMA
2025-11-30;BIVC;TMA;3,5;TMA
2025-11-30;AVA;TMA;2;TMA
2025-11-30;AVA;TMA;1,0;TMA
2025-11-30;AVA;Optimisation bsswitch;3,5;TMA
2025-11-30;Aurouze;TMA;7,0;TMA
2025-11-30;Aurouze;TMA;0,5;TMA
2025-10-31;VinsIGP;VMQ;7,0;VMQ
2025-10-31;VinsIGP;TMA;7;TMA
2025-10-31;VinsIGP;TMA;12;TMA
2025-10-31;VinsIGP;TMA;10,5;TMA
2025-10-31;VinsIGP;ProdouaneVendange;10,5;ProdouaneVendange
2025-10-31;VinsIGP;DRInterloire;5,25;DRInterloire
2025-10-31;Ventoux;ProdouaneVendange;3,5;ProdouaneVendange
2025-10-31;prodouane;Douane Interloire;3,5;Mutualisation
2025-10-31;prodouane;APIsation de prodouane scrapy;14;Mutualisation
2025-10-31;prodouane;Adaptation nouvelle DR Vendange;31,5;Mutualisation
2025-10-31;Prodimmo;Metacompta;7;Prodimmo
2025-10-31;ORessource;Dev;14;demarrage projet
2025-10-31;ODGRhone;ProdouaneVendange;14,0;ProdouaneVendange
2025-10-31;ODGRhone;AdminSys;7;AdminSys
2025-10-31;ODGProvence;TMA;2;TMA
2025-10-31;ODGProvence;Sprint dev controle terrain;32;Controle
2025-10-31;ODGProvence;Réunion sprint controle terrain;2;Controle
2025-10-31;ODGProvence;ProdouaneVendange;10,5;ProdouaneVendange
2025-10-31;ODGProvence;Controle;7;Controle
2025-10-31;ODGProvence;Controle;14,0;Controle
2025-10-31;ODGProvence;Controle;10;Controle
2025-10-31;ODGProvence;AdminSys;7;AdminSys
2025-10-31;ODGNantes;TMA;1;TMA
2025-10-31;ODGNantes;DRInterloire;5,25;DRInterloire
2025-10-31;NathanMode;Sprint;20;TMA
2025-10-31;NathanMode;Devis;3,5;Linup
2025-10-31;NathanMode;AdminSys;3,5;AdminSys
2025-10-31;Juricaf;AdminSys;3,5;AdminSys
2025-10-31;IVSO;TMA;3,5;TMA
2025-10-31;IVBD;TMA;3,5;TMA
2025-10-31;IVBD;TMA;1;TMA
2025-10-31;IR;TMA;2,5;TMA
2025-10-31;IR;Assistance / Demande;7;TMA
2025-10-31;IGPSudOuest;Forfait;3,5;Forfait
2025-10-31;Gaillac;TMA;23;TMA
2025-10-31;Gaillac;Forfait;7;Forfait
2025-10-31;Gaillac;Forfait;3,5;Forfait
2025-10-31;DeclarVins;TMA;5;TMA
2025-10-31;DeclarVins;Réunion Aix;7;Deplacement
2025-10-31;CNIV;TMA;3,5;TMA
2025-10-31;CIVP;Assistance / Demande;3,5;TMA
2025-10-31;CIVA;TMA;4,5;TMA
2025-10-31;CIVA;TMA;10,5;TMA
2025-10-31;CIVA;Sprint import vrac;55,5;ImportContrat
2025-10-31;CIVA;ImportContrat;14,0;ImportContrat
2025-10-31;CIVA;Contrat;3;ImportContrat
2025-10-31;CentreLoire;TMA;2;TMA
2025-10-31;CentreLoire;ProdouaneVendange;14,0;ProdouaneVendange
2025-10-31;BIVC;TMA;3,5;TMA
2025-10-31;AVA;TMA;7,0;TMA
2025-10-31;AVA;TMA;3,5;TMA
2025-10-31;Aurouze;TMA;2,5;TMA
2025-10-31;Aurouze;TMA;1;TMA
2025-10-31;Aurouze;TMA;10,50;TMA
2025-10-31;ADM;TMA;3,5;TMA
2025-10-31;ADM;TMA;1;TMA
2025-09-30;VinsIGP;TMA;5;TMA
2025-09-30;VinsIGP;TMA;14;TMA
2025-09-30;VinsIGP;TMA;10,5;TMA
2025-09-30;VinsIGP;Assistance / Demande;1;TMA
2025-09-30;prodouane;APIsation de prodouane scrapy;14;Mutualisation
2025-09-30;Prodimmo;SignaturePDF + Metacompta;3,5;Prodimmo
2025-09-30;ORessource;ORessource;7,0;ORessource
2025-09-30;ORessource;Dev;35;demarrage projet
2025-09-30;ODGRhone;TMA;1,5;TMA
2025-09-30;ODGRhone;Calendrier + TMA OpenODG;3,5;TMA
2025-09-30;ODGRhone;Assistance / Demande;1;TMA
2025-09-30;ODGProvence;Visio controle;2;Controle
2025-09-30;ODGProvence;TMA;3,5;TMA
2025-09-30;NathanMode;Sprint;18;Linup
2025-09-30;NathanMode;Reunion;2,50;Linup
2025-09-30;NathanMode;Linup;14,0;Linup
2025-09-30;Juricaf;TMA Canada + integration + opti Robots IA + editorial;7;TMA
2025-09-30;IVSO;TMA + AdminSys;3,5;TMA
2025-09-30;IVSO;TMA;3,5;TMA
2025-09-30;IVSO;TMA;0,5;TMA
